,control_mean,control_sd,schizo_mean,schizo_sd,study_id,n_schizo,n_control,task,cohens_d,se_cohens_d,effect,se_effect
4,29.67,8.32,27.5,10.36,5,45,35.0,CONSTR,-0.23096087214976613,0.052446761658604235,-2.1700000000000017,2.088752038745882
5,0.0348,0.016,0.0382,0.015,6,8,36.0,FREE,0.21924079927451476,0.16065237922380782,0.0034000000000000002,0.005936001272836042
7,0.24,0.08,0.22,0.05,8,39,18.0,CONSTR,-0.2998126755983444,0.08499605943936894,-0.01999999999999999,0.020485558807562945
8,79.72826086956522,43.18478260869565,62.72826086956522,44.56956521739131,9,28,27.0,CONSTR,-0.38739695950853875,0.0769658978058414,-17.0,11.832827982161769
15,21.56,6.78,17.642666666666667,7.277333333333334,14,60,19.0,FREE,-0.5569881482619937,0.07316504335700728,-3.917333333333332,1.8171541342875361
16,2.874332905995645,0.05473897617841006,3.354640589129715,0.193345457797925,15,39,37.0,FREE,3.3803191951114093,0.13338464698995559,0.48030768313407,0.0322413919050468
23,0.84,0.502,0.5243478260869565,0.2496086956521739,22,46,20.0,SOCIAL,-0.7962431677577961,0.07908891405496918,-0.31565217391304345,0.11812978317393669
45,38.692565055762074,24.799628252788107,37.35296296296296,24.157037037037036,42,94,101.0,FREE,-0.05472132154090121,0.020759968295720955,-1.3396020927991117,3.506769658497433
46,38.62062780269058,26.795067264573994,35.09441860465116,22.19581395348837,42,62,68.0,FREE,-0.14332349634999889,0.03139820463418725,-3.5262091980394175,4.301685708428133
50,0.0992,0.0024,0.0924,0.0044,46,22,20.0,SOCIAL,-1.918731003142541,0.14854733642154025,-0.0068000000000000005,0.0010807404868885036
51,17.621,3.273,11.338,4.051,47,45,19.0,SOCIAL,-1.7061301385330465,0.10150053190126979,-6.2829999999999995,0.9635856671888059
52,24.847,2.589,20.269,4.834,47,45,19.0,CONSTR,-1.1806485213612685,0.08887244350486401,-4.578000000000003,0.933843850979218
53,1.51,0.69,1.67,0.87,48,36,25.0,FREE,0.20377619197356528,0.07043916308040428,0.15999999999999992,0.2001724256734678
54,1.5,0.579,1.68,0.94,48,36,25.0,FREE,0.23057593347182226,0.07054115561208345,0.17999999999999994,0.19481808038384024
56,2.61,1.02,2.23,0.79,50,57,30.0,SOCIAL,-0.41653998274402376,0.05311893894041857,-0.3799999999999999,0.2136097441761905
