,trial,n_studies,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,0,10,0.504,0.087,0.345,0.668,0.001,0.001,4278.0,3203.0,1.0
1,1,10,0.54,0.088,0.382,0.709,0.001,0.001,3724.0,3226.0,1.0
2,2,10,0.294,0.083,0.151,0.46,0.001,0.001,4179.0,3116.0,1.0
3,3,10,0.06,0.09,-0.11,0.228,0.001,0.001,4037.0,3529.0,1.0
4,4,10,0.481,0.083,0.323,0.641,0.001,0.001,3666.0,3264.0,1.0
5,5,10,0.464,0.082,0.317,0.619,0.001,0.001,3987.0,3767.0,1.0
6,6,10,0.182,0.083,0.02,0.333,0.001,0.001,4513.0,3296.0,1.0
7,7,10,0.276,0.082,0.117,0.423,0.001,0.001,4388.0,3362.0,1.0
8,8,10,0.591,0.078,0.438,0.731,0.001,0.001,4029.0,2796.0,1.0
9,9,10,0.266,0.081,0.111,0.418,0.001,0.001,4251.0,3222.0,1.0
10,0,15,0.389,0.067,0.271,0.521,0.001,0.001,5070.0,3604.0,1.0
11,1,15,0.197,0.069,0.071,0.327,0.001,0.001,4329.0,3381.0,1.0
12,2,15,0.342,0.071,0.206,0.474,0.001,0.001,5248.0,3313.0,1.0
13,3,15,0.4,0.068,0.275,0.53,0.001,0.001,4483.0,3030.0,1.0
14,4,15,0.395,0.066,0.273,0.517,0.001,0.001,4803.0,3392.0,1.0
15,5,15,0.471,0.066,0.345,0.589,0.001,0.001,4746.0,3560.0,1.0
16,6,15,0.428,0.068,0.297,0.553,0.001,0.001,5131.0,3472.0,1.0
17,7,15,0.465,0.067,0.341,0.595,0.001,0.001,4894.0,3371.0,1.0
18,8,15,0.341,0.065,0.224,0.466,0.001,0.001,5418.0,3193.0,1.0
19,9,15,0.411,0.07,0.283,0.547,0.001,0.001,4990.0,3516.0,1.0
20,0,20,0.511,0.061,0.399,0.626,0.001,0.001,4693.0,3379.0,1.0
21,1,20,0.16,0.057,0.052,0.267,0.001,0.001,6118.0,3527.0,1.0
22,2,20,0.617,0.059,0.506,0.726,0.001,0.001,4858.0,3326.0,1.0
23,3,20,0.287,0.059,0.176,0.398,0.001,0.001,5111.0,3519.0,1.0
24,4,20,0.594,0.061,0.477,0.706,0.001,0.001,4848.0,3362.0,1.0
25,5,20,0.308,0.06,0.196,0.423,0.001,0.001,5145.0,3274.0,1.0
26,6,20,0.615,0.059,0.501,0.723,0.001,0.001,4924.0,3686.0,1.0
27,7,20,0.259,0.061,0.146,0.369,0.001,0.001,4477.0,3174.0,1.0
28,8,20,0.538,0.058,0.433,0.647,0.001,0.001,5359.0,3424.0,1.0
29,9,20,0.391,0.058,0.283,0.497,0.001,0.001,4925.0,3451.0,1.0
30,0,30,0.391,0.049,0.303,0.482,0.001,0.0,5232.0,3478.0,1.0
31,1,30,0.484,0.047,0.398,0.578,0.001,0.0,4603.0,3648.0,1.0
32,2,30,0.479,0.05,0.375,0.564,0.001,0.001,4329.0,3578.0,1.0
33,3,30,0.348,0.049,0.248,0.435,0.001,0.001,4707.0,2957.0,1.0
34,4,30,0.347,0.05,0.251,0.435,0.001,0.001,4235.0,3364.0,1.0
35,5,30,0.499,0.049,0.409,0.589,0.001,0.001,4646.0,3073.0,1.0
36,6,30,0.314,0.048,0.222,0.404,0.001,0.001,4488.0,3568.0,1.0
37,7,30,0.474,0.048,0.388,0.564,0.001,0.001,4289.0,3669.0,1.0
38,8,30,0.414,0.047,0.32,0.498,0.001,0.0,5213.0,3721.0,1.0
39,9,30,0.326,0.049,0.234,0.415,0.001,0.0,5115.0,3473.0,1.0
40,0,50,0.426,0.038,0.356,0.499,0.001,0.0,3835.0,3220.0,1.0
41,1,50,0.452,0.039,0.382,0.527,0.001,0.0,3454.0,3372.0,1.0
42,2,50,0.384,0.038,0.314,0.455,0.001,0.0,3771.0,3194.0,1.0
43,3,50,0.412,0.036,0.346,0.484,0.001,0.0,4075.0,3330.0,1.0
44,4,50,0.478,0.038,0.405,0.546,0.001,0.0,3563.0,2931.0,1.0
45,5,50,0.367,0.038,0.298,0.44,0.001,0.0,3699.0,3255.0,1.0
46,6,50,0.281,0.037,0.207,0.346,0.001,0.0,4553.0,3472.0,1.0
47,7,50,0.477,0.038,0.405,0.545,0.001,0.0,3711.0,3458.0,1.0
48,8,50,0.39,0.037,0.317,0.455,0.001,0.0,4281.0,3617.0,1.0
49,9,50,0.278,0.039,0.203,0.345,0.001,0.0,3540.0,3146.0,1.0
50,0,75,0.418,0.03,0.363,0.474,0.0,0.0,3657.0,3140.0,1.0
51,1,75,0.391,0.031,0.329,0.448,0.001,0.0,3778.0,3231.0,1.0
52,2,75,0.321,0.031,0.261,0.379,0.0,0.0,3944.0,2792.0,1.0
53,3,75,0.384,0.03,0.328,0.44,0.001,0.0,3605.0,3427.0,1.0
54,4,75,0.404,0.031,0.346,0.464,0.001,0.0,3305.0,2953.0,1.0
55,5,75,0.359,0.03,0.303,0.417,0.001,0.0,3496.0,3509.0,1.0
56,6,75,0.403,0.031,0.348,0.464,0.001,0.0,3677.0,3593.0,1.0
57,7,75,0.468,0.03,0.415,0.527,0.0,0.0,4208.0,3044.0,1.0
58,8,75,0.368,0.031,0.313,0.426,0.001,0.0,3730.0,3211.0,1.0
59,9,75,0.41,0.03,0.358,0.471,0.0,0.0,3839.0,3400.0,1.0
60,0,100,0.482,0.027,0.431,0.533,0.0,0.0,3207.0,2989.0,1.0
61,1,100,0.341,0.026,0.292,0.389,0.0,0.0,3166.0,3211.0,1.0
62,2,100,0.387,0.027,0.335,0.434,0.0,0.0,2959.0,3128.0,1.0
63,3,100,0.389,0.026,0.34,0.436,0.0,0.0,3288.0,3421.0,1.0
64,4,100,0.321,0.027,0.271,0.372,0.001,0.0,2878.0,3132.0,1.0
65,5,100,0.428,0.026,0.378,0.477,0.0,0.0,2982.0,3082.0,1.0
66,6,100,0.332,0.027,0.282,0.381,0.0,0.0,3062.0,3078.0,1.0
67,7,100,0.503,0.027,0.453,0.553,0.0,0.0,3194.0,2972.0,1.0
68,8,100,0.373,0.028,0.319,0.423,0.001,0.0,2802.0,3048.0,1.0
69,9,100,0.422,0.026,0.372,0.47,0.0,0.0,3150.0,3047.0,1.0
70,0,200,0.434,0.018,0.4,0.469,0.0,0.0,2709.0,2934.0,1.0
71,1,200,0.442,0.019,0.405,0.475,0.0,0.0,2634.0,2927.0,1.0
72,2,200,0.415,0.019,0.38,0.45,0.0,0.0,2334.0,2811.0,1.0
73,3,200,0.38,0.019,0.341,0.413,0.0,0.0,2553.0,2814.0,1.0
74,4,200,0.435,0.019,0.4,0.471,0.0,0.0,2206.0,2494.0,1.0
75,5,200,0.392,0.019,0.359,0.43,0.0,0.0,2389.0,2658.0,1.0
76,6,200,0.428,0.019,0.393,0.462,0.0,0.0,2366.0,2797.0,1.0
77,7,200,0.419,0.019,0.385,0.455,0.0,0.0,2960.0,3044.0,1.0
78,8,200,0.389,0.019,0.354,0.424,0.0,0.0,2426.0,2585.0,1.0
79,9,200,0.401,0.019,0.365,0.436,0.0,0.0,2138.0,2411.0,1.0
